LigandID,pIC50,canonical_smiles,ATSC4c,ATSC7i,GATS4d,SdCH2,SdssC,BIC4,SMR_VSA4,n7Ring,n7HRing,nG12FARing
CHEMBL4086731,4.17,Cc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,0.396134361,-3.666482446,0.966533467,0,0,0.892090007,0,0,0,0
CHEMBL1255828,4.75,COc1cc(/C=C2\CN(C(=O)CCC(=O)NCCCNCCCN)C/C(=C\c3ccc(O)c(OC)c3)C2=O)ccc1O,-0.576285193,19.39927944,1.048562468,0,0.02275146,0.820097263,5.733667477,0,0,0
CHEMBL3808664,4.76,O=C(CCCCCCN=C=S)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.054782603,-1.066975825,0.981374121,0,0.00426943,0.90822591,4.992404733,0,0,0
CHEMBL3823454,4,CCCCNC1=CC(=O)C(C(C)(C)C)=CC1=O,0.003714234,8.350737516,0.93858478,0,0.862701903,0.758301767,5.414990469,0,0,0
CHEMBL4078694,5.28,Cc1cc2c(s1)C(=O)c1ccccc1C2=O,-0.009250999,-12.6558089,1.38,0,-0.057546296,0.820087029,0,0,0,1
CHEMBL4169370,6.37,COc1cc(-c2ocnc2-c2cc(OC)c(OC)c(OC)c2)ccc1SC,-0.00721738,26.78860027,1.395730797,0,0,0.783488667,0,0,0,0
CHEMBL122880,3.89,CN=NNc1ccc(C(C)=O)cc1,-0.045466157,-4.419689695,0.844395343,0,0.058951667,0.86223513,10.33750304,0,0,0
CHEMBL4753031,4.52,Cc1ccc(S(=O)(=O)N2CCN(C(=O)c3cn(Cc4cccc(Oc5ccccc5)c4)nn3)CC2)cc1,-0.000886475,16.54567128,1.124255657,0,-0.264078235,0.868172982,0,0,0,0
CHEMBL1159894,3.9,NCCSc1ccc(O)cc1,-0.105748167,-0.462126618,1.042105263,0,0,0.901557709,5.733667477,0,0,0
CHEMBL4786597,4.52,CC(C)(C)c1ccc(S(=O)(=O)N2CCN(C(=O)c3cn(Cc4ccc(F)cc4)nn3)CC2)cc1,0.018046997,-15.41690955,0.854466458,0,-0.294505369,0.805108156,0,0,0,0
CHEMBL3806086,4.3,O=C(/C=C\Nc1ccc(C(F)(F)F)cc1)c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,0.169030209,-7.45362664,0.901039161,0,-0.378779814,0.918000767,0,0,0,0
CHEMBL17329,5.01,COC(=O)/C=C/c1cc(O)ccc1O,-0.24543459,-3.63387259,0.906900329,0,-0.520608466,0.903017569,0,0,0,0
CHEMBL1081411,5.21,COc1cc2c(c(C)c1Cl)Oc1cc(OC)c(Cl)c(C)c1C(=O)O2,0.474612873,3.789158994,1.211400607,0,-0.574464286,0.826257069,0,1,1,1
CHEMBL3823367,5,CNC1=CC(=O)C=C(C(C)(C)C)C1=O,0.056540657,-7.516600972,1.06407448,0,0.731712963,0.703015626,5.414990469,0,0,0
CHEMBL3805015,4.3,COc1ccc(N/C=C\C(=O)c2cn(-c3ccccc3)nc2-c2ccccc2)cc1,0.046296069,-2.095642423,1.035154664,0,-0.127735313,0.913269883,0,0,0,0
CHEMBL15192,6.05,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,0.092987294,-18.78736487,0.99287647,0,0.329936224,0.801461323,0,0,0,1
CHEMBL4755548,3.84,COc1ccc(-n2nnnc2Nc2ccc(Cl)cc2)cc1,-0.124971676,17.35147853,0.912751678,0,0,0.903071789,0,0,0,0
CHEMBL3613551,4.67,COc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3cc(C)c(C)cc3[nH]2)cc1,0.170559617,8.936287079,0.918777427,0,0,0.872405271,0,0,0,0
CHEMBL3633641,7.66,CCCCCCCCCCCCNC(=O)CC1c2cccc(O)c2C(=O)c2c(O)cccc21,0.458889258,-0.558460119,1.109572649,0,-0.49344394,0.766663426,0,0,0,1
CHEMBL3613516,4.3,Clc1ccc2[nH]c(-c3cn(-c4ccccc4)nc3-c3ccccc3)nc2c1,0.192558616,7.449470893,1.003496503,0,0,0.91237892,0,0,0,0
CHEMBL4078713,4.52,O=C1c2ccccc2C(=O)c2sc(/C=N/Nc3ccccc3)cc21,0.029093095,-12.45118878,1.188888889,0,-0.200937856,0.886496425,5.101407526,0,0,1
CHEMBL1824861,4.26,CC(=O)OC[C@@]1(O)CC[C@]23C[C@H]1C[C@@H]2CC[C@H]1[C@]2(C)CO[C@H](c4ccc(O)cc4)O[C@@H]2CC[C@@]13C,-0.469471347,-20.40731168,1.084672056,0,-0.309903108,0.902952113,33.99868955,0,0,1
CHEMBL4164338,4.21,N/C(=N\S(=O)(=O)c1ccccc1SCc1cccc2ccccc12)NNc1nc(Cl)nc(Nc2ccc(S(N)(=O)=O)cc2)n1,0.22332484,-17.09324974,1.068488904,0,-0.48288611,0.908294219,15.27035221,0,0,0
CHEMBL3824238,4,CCCCNC1=CC(=O)C(C[C@]2(C)[C@@H](C)CC[C@]3(C)C(C)=CCC[C@@H]23)=CC1=O,-0.118559904,-11.33918252,1.217464638,0,2.661115795,0.876907481,22.66579303,0,0,0
CHEMBL575171,3.9,CCCCCCCCCCCCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0.446317593,14.02459399,0.956624552,0,-1.119578894,0.750619815,0,0,0,0
CHEMBL3805024,4.3,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)/C=C\Nc2cc(OC)c(OC)c(OC)c2)cc1,0.732799413,10.37851907,1.263788969,0,-0.205610329,0.839881673,0,0,0,0
CHEMBL4074726,4,c1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)nc1,0.393300619,0.320633695,1.24238921,0,0,0.904398176,0,0,0,0
CHEMBL4169946,5,COc1ccc(-c2ocnc2-c2cc(Br)c(OC)c(OC)c2)cc1OC,-0.264609681,19.2378405,1.320254898,0,0,0.759988609,0,0,0,0
CHEMBL1824863,4,COc1cc(=O)oc2c1[C@H](O[C@@H]1O[C@@H](C)[C@@H](C)c3oc(=O)cc(OC)c31)O[C@@H](C)[C@H]2C,1.993326956,-15.25288241,1.171232877,0,0,0.719661775,0,0,0,0
CHEMBL4569363,5,CCCCCCCCCCCCCC[C@@H](OP(=O)(O)O)[C@@H](O)CC[C@@H](O)[C@@H](O)CC[C@@H](O)CCCCCCC(=O)NCC(=O)O,-0.965066669,0.099566203,1.048111958,0,-1.392474054,0.770495781,0,0,0,0
CHEMBL3613550,4.3,COc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3cc(C)ccc3[nH]2)cc1,0.154255183,6.707824832,0.929073034,0,0,0.900083318,0,0,0,0
CHEMBL4529587,4.22,CCOC(=O)c1ccc(/N=N/NC)cc1,0.018894858,-10.3724699,1.388429752,0,-0.324439537,0.871520231,10.33750304,0,0,0
CHEMBL4475592,3.88,CCCCCCCC/C=C\CCCCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0.446859372,14.44540219,0.97110837,0,-1.131132398,0.825443069,0,0,0,0
CHEMBL2012332,4.7,CC(C(=O)NNC(=O)NCC1CCCCC1)c1cccc(Oc2ccccc2)c1,-0.421814185,8.848965449,0.975659991,0,-0.660219809,0.875196195,5.917906046,0,0,0
CHEMBL4447873,3.81,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0.446792407,14.35139144,0.960193211,0,-1.121832832,0.783124242,0,0,0,0
CHEMBL4790859,3.99,COc1ccc(Nc2nnnn2-c2ccc(Br)cc2)cc1,-0.105832697,11.01339885,0.912751678,0,0,0.903071789,0,0,0,0
CHEMBL4087524,5.24,CCCC(=O)Nc1cc2c(s1)C(=O)c1ccccc1C2=O,-0.056413129,-20.61047148,1.144939315,0,-0.414685112,0.852377296,0,0,0,1
CHEMBL4744305,8.52,C/C=C/C(=O)OCC(=O)N[C@H]1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(C(=O)OC)cc21,-0.116142968,-14.97743124,1.460638252,0,-1.564362744,0.850184169,0,1,0,1
CHEMBL4102303,4.12,COC(=O)c1ccc(/N=N/N(C)C(=O)CCCCc2ccc(O)cc2)cc1,-0.061413788,-12.06990474,0.893674423,0,-0.53358742,0.896183974,10.33750304,0,0,0
CHEMBL4079125,4.63,Clc1ccc(-c2nnc(Cc3nc4ccccc4[nH]3)o2)c(Cl)c1,0.493152869,-11.37357048,1.046918299,0,0,0.907487504,0,0,0,0
CHEMBL4076967,4.12,CN(/N=N/c1ccc(C#N)cc1)C(=O)CCc1ccc(O)cc1,-0.07792116,-16.01019808,0.749298198,0,-0.156972212,0.896712771,10.33750304,0,0,0
CHEMBL3613547,4.3,COc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3cc(Br)ccc3[nH]2)cc1,0.13098364,5.158099984,0.916879489,0,0,0.910315104,0,0,0,0
CHEMBL3613531,4.3,Cc1cc2nc(-c3cn(-c4ccccc4)nc3-c3ccc(F)cc3)[nH]c2cc1C,0.213902414,12.21360457,0.92657481,0,0,0.876973698,0,0,0,0
CHEMBL4102942,4.12,Clc1ccc(-c2nnc(Cc3nc4ccc(Cl)cc4[nH]3)o2)c(Cl)c1,0.525560066,-11.69386026,1.021322537,0,0,0.907487504,0,0,0,0
CHEMBL93347,6.36,CC(=O)c1cc2c(s1)C(=O)c1ccccc1C2=O,-0.058962645,-2.017933808,1.143680743,0,-0.471568405,0.829178411,0,0,0,1
CHEMBL3809481,4.74,O=C(CCCCN=C=S)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.061396352,-10.06361785,1.030619866,0,-0.037934001,0.909395465,4.992404733,0,0,0
CHEMBL4204485,4,CC(=O)OC1OC(=O)C(Br)=C1Nc1ccc(-c2ccc(N)cc2)cc1,0.072273357,-0.832537539,0.871527663,0,-0.590704807,0.881995902,0,0,0,0
CHEMBL3613545,4.3,COc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3cc(F)ccc3[nH]2)cc1,0.133728782,-7.37679174,0.916879489,0,0,0.910315104,0,0,0,0
CHEMBL3806140,4.55,O=C(/C=C\Nc1ccc(Cl)cc1)c1cn(-c2ccccc2)nc1-c1ccccc1,0.135580449,-10.05235001,1.052788982,0,-0.131946562,0.922164552,0,0,0,0
CHEMBL3613540,4.3,Cc1ccc2[nH]c(-c3cn(-c4ccccc4)nc3-c3ccc(Cl)cc3)nc2c1,0.205992775,11.57010247,0.943627451,0,0,0.908182006,0,0,0,0
CHEMBL3398104,4,COCCOCCOCCn1cnc2c(=O)[nH]c(N)nc21,0.44122063,-6.663513291,1.094323333,0,0,0.840392387,0,0,0,0
CHEMBL4126254,4.74,C/C(C#Cc1ccccc1)=N\N/C(N)=N/S(=O)(=O)c1cc(C)c(Cl)cc1SCc1ccccc1C(F)(F)F,0.298954513,-86.03758555,1.176709379,0,-0.191533203,0.883357499,15.232786,0,0,0
CHEMBL3220082,3.67,Nc1ncnc2c1nc(C(F)(F)F)n2[C@H]1C[C@H](O)[C@@H](CO)O1,-0.017045188,-13.04264066,1.12354577,0,0,0.896506404,0,0,0,0
CHEMBL4070840,6.15,COC(=O)c1cc2c(s1)C(=O)c1ccccc1C2=O,-0.117785905,-19.19007392,1.181367106,0,-0.980544218,0.836279362,0,0,0,1
CHEMBL4483388,5,CCCCCCCCCCCCCC[C@@H](OP(=O)(O)O)[C@@H](O)CCCO,-0.279038995,-5.339696613,1.212455934,0,0,0.710981948,0,0,0,0
CHEMBL52765,4.84,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.00645818,-1.972779202,1.060232154,0,0,0.909486908,0,0,0,0
